ID, JOB_ID, J_TASK_ID, MI, RAM, STORAGE, PRIORITY, A_TIME, D_TIME
34,116,33,7048561,3430,332,1,12,1991727
31,116,30,6400311,2070,208,1,12,71
30,116,29,8612274,2672,160,1,12,178
28,116,27,5832031,3170,170,1,12,1723771
26,116,25,5777318,224,378,1,12,1586733
21,116,20,5967128,772,381,1,12,27
17,116,16,7285939,482,360,1,12,87
15,116,14,8318939,2147,135,1,12,2208161
14,116,13,8675936,3844,116,1,12,1858712
7,116,6,5875932,3387,271,1,12,27
5,116,4,5168470,2357,194,1,12,27
1,116,0,5646245,3291,64,1,12,23
0,116,0,5646245,3291,64,1,12,23
24,116,23,6764390,240,62,1,18,140
16,116,15,8473991,3361,119,1,18,43
19,116,18,7954005,3593,117,1,28,2150167
8,116,7,4832989,3206,190,1,28,87
29,116,28,5130031,400,79,1,92,218
20,116,19,7507716,2197,167,1,92,204
18,116,17,5894413,1841,94,1,116,140
10,116,9,5408521,3674,319,1,116,146
9,116,8,6618647,1651,199,1,116,1649259
6,116,5,6436113,879,350,1,116,142
3,116,2,5150630,35,303,1,116,1045129
32,116,31,7356564,150,135,1,126,1806007
13,116,12,5388400,3081,245,1,126,1341802
12,116,11,4616305,2516,203,1,126,150
33,116,32,6192536,1366,11,1,139,1638441
27,116,26,7079794,3555,94,1,139,1985246
4,116,3,8094326,3542,317,1,139,186
2,116,1,6835587,620,287,1,139,156
25,116,24,6468130,3470,34,1,161,232
23,116,22,5174966,1991,365,1,161,1372522
22,116,21,7847992,2677,265,1,161,182
11,116,10,7501352,304,71,1,161,1642907
3808,209,8,8201866,651,207,1,180,2318039
3803,209,3,6757632,1077,108,1,180,1797697
3802,209,2,7113968,3397,270,1,180,358
3801,209,2,7113968,3397,270,1,180,358
3816,209,16,7079522,3437,399,1,190,1836618
3804,209,4,5604773,3980,240,1,190,376
3819,209,19,6012124,1769,69,1,293,533
3817,209,17,6547817,2380,165,1,293,1654995
3824,209,24,5371846,1007,175,1,301,1120829
3820,209,20,8405286,1757,302,1,301,535
3818,209,18,8361737,1025,395,1,323,524
3823,209,23,4915309,1411,120,1,336,1223302
3822,209,22,5356866,2959,35,1,336,598
3821,209,21,7272092,3056,220,1,336,540
3815,209,15,4870219,3721,98,1,336,976101
3814,209,14,6200748,227,201,1,336,525
3813,209,13,5562548,2747,304,1,336,1402861
3812,209,12,8263399,764,199,1,336,553
3811,209,11,6008740,3436,384,1,336,1205418
3810,209,10,8638870,3749,72,1,336,521
3809,209,9,8354045,2071,355,1,336,521
3807,209,7,5182375,2181,104,1,336,526
3806,209,6,5644401,3135,254,1,336,1641565
3805,209,5,6751139,372,298,1,336,533
3193,189,70,4826672,1175,332,1,359,893
3186,189,63,6362331,3067,211,1,359,1685201
3167,189,44,7404695,177,297,1,359,755
3147,189,24,6557396,3895,18,1,359,761
