ID, JOB_ID, J_TASK_ID, MI, RAM, STORAGE, PRIORITY, A_TIME, D_TIME
3204,82,24,7041278,3113,23,1,111,1458442
3182,82,2,7378809,2067,311,1,111,226
3181,82,2,7378809,2067,311,1,111,226
3193,82,13,8584152,2366,319,1,121,2178537
3189,82,9,7319282,2044,337,1,121,1763383
1106,26,56,8801612,594,359,1,137,2018231
1101,26,51,5802706,1570,288,1,137,1616969
1095,26,45,5466136,3376,17,1,137,305
1094,26,44,7014070,2543,280,1,137,2058507
1072,26,22,6908567,711,349,1,137,304
1062,26,12,8608483,76,397,1,137,1723117
2836,72,7,4791511,2559,6,1,138,1001550
1113,27,0,8130468,1183,310,3,147,1713221
1093,26,43,5793791,1217,391,1,147,334
1080,26,30,6056435,1085,213,1,147,293
1079,26,29,8298619,1863,322,1,147,2053021
1078,26,28,8856888,1867,40,1,147,323
2840,72,11,6670202,1684,48,1,148,357
2832,72,3,5137933,399,182,1,148,1190315
3205,82,25,7084338,1068,106,1,198,1584597
3203,82,23,4680371,952,285,1,198,983492
3201,82,21,8199964,366,66,1,198,1648956
3200,82,20,7747220,3866,124,1,198,346
3199,82,19,5638867,3418,49,1,198,341
3196,82,16,8085390,305,301,1,198,1813156
3195,82,15,4581314,3460,207,1,198,952491
3191,82,11,7116384,1701,43,1,198,1865573
3190,82,10,8383439,683,393,1,198,2150298
3187,82,7,7172553,3732,59,1,198,324
3185,82,5,4859026,3810,258,1,198,1367791
3184,82,4,7736429,38,35,1,198,319
3183,82,3,6756705,2098,377,1,198,318
1112,26,62,8249332,545,73,1,211,553
1099,26,49,7633550,3682,289,1,211,2060412
1073,26,23,8179011,1793,256,1,211,1990968
2842,73,0,7399349,1453,272,5,212,9762
3206,82,26,7555559,3995,13,1,219,523
3192,82,12,8225265,3940,35,1,219,367
3202,82,22,5530526,1164,238,1,224,385
3197,82,17,6972436,2264,377,1,224,339
3188,82,8,8680799,2247,28,1,224,359
3186,82,6,8153544,2128,278,1,232,359
1110,26,60,7136666,1547,264,1,235,458
1055,26,5,5815842,3905,241,1,235,1507797
1100,26,50,8951703,1450,330,1,245,428
1092,26,42,6774893,2234,7,1,245,1897797
1081,26,31,4635678,1883,232,1,245,402
1111,26,61,8350035,967,218,1,250,561
1108,26,58,5235543,3295,340,1,250,520
1105,26,55,6043041,3463,120,1,250,401
1104,26,54,5576784,510,55,1,250,468
1103,26,53,7631290,1636,142,1,250,2121159
1102,26,52,7857024,3910,13,1,250,2319004
1097,26,47,6995961,3849,176,1,250,1453005
1096,26,46,8774361,551,104,1,250,2246129
1091,26,41,6967467,2007,171,1,250,1597755
1090,26,40,5019366,2219,250,1,250,426
1089,26,39,8717487,3667,399,1,250,426
1088,26,38,7349473,3035,103,1,250,2167613
1087,26,37,4824244,3845,23,1,250,404
1086,26,36,6866079,960,353,1,250,1443209
1085,26,35,8859961,625,304,1,250,2016704
1084,26,34,5363543,1578,382,1,250,424
1082,26,32,4869136,1016,162,1,250,416
1075,26,25,5814444,505,131,1,250,1186762
1074,26,24,6127871,81,352,1,250,1328283
1071,26,21,6082490,1242,19,1,250,399
1070,26,20,7949384,2836,114,1,250,388
1069,26,19,7477629,3636,178,1,250,399
1067,26,17,5051655,2565,16,1,250,1396722
1066,26,16,7827509,588,115,1,250,424
1065,26,15,7122083,2706,395,1,250,2059298
1064,26,14,8028625,2085,208,1,250,2000100
1063,26,13,7771812,3047,231,1,250,1711290
1061,26,11,8503946,2881,138,1,250,1845902
1060,26,10,6712930,3211,372,1,250,398
1059,26,9,7359996,828,15,1,250,1676447
1058,26,8,8925788,2591,330,1,250,2662447
1057,26,7,7905886,2771,266,1,250,2315305
1056,26,6,7148049,3025,231,1,250,1870693
1054,26,4,4807773,988,255,1,250,389
1053,26,3,4975772,664,387,1,250,390
1052,26,2,7218219,534,160,1,250,1602208
1051,26,2,7218219,534,160,1,250,1602208
2838,72,9,5336722,1301,224,1,252,398
2837,72,8,7874023,2365,6,1,252,415
2833,72,4,4791535,3739,319,1,252,1404031
2831,72,2,6107965,1208,354,1,252,393
2830,72,2,6107965,1208,354,1,252,393
3198,82,18,7496527,1594,295,1,254,469
3194,82,14,6502526,88,289,1,254,1797170
1109,26,59,6704018,3469,346,1,258,498
1083,26,33,7221805,1504,376,1,258,1845200
1076,26,26,5764546,1636,208,1,258,404
2835,72,6,5425032,2460,205,1,259,403
2834,72,5,5674931,3826,395,1,259,1342293
1107,26,57,7874088,614,326,1,280,2080904
1098,26,48,7643797,2148,367,1,280,462
1077,26,27,5611541,3088,134,1,280,419
1068,26,18,6765455,2558,388,1,280,1797543
2841,72,12,4917933,1106,262,1,281,1284869
2839,72,10,8078606,899,161,1,281,2008251
652,13,69,5408754,1167,256,1,289,672
646,13,63,4943673,3131,172,1,289,736
624,13,41,8970160,3902,72,1,289,592
616,13,33,6528703,3999,393,1,289,624
609,13,26,5553942,3189,211,1,289,592
599,13,16,5059017,2093,260,1,289,580
594,13,11,4502014,1697,184,1,289,964783
651,13,68,6774792,1845,260,1,299,778
